Unnamed: 0,date,firm,Ticker,Research Development,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Net Income From Continuing Ops,Net Income Applicable To Common Shares,_dt,return,is_hole,lower_bound,upper_bound
59,10/31/2020,Agilent Technologies,A,102000000.0,283000000.0,222000000.0,342000000.0,788000000.0,344000000.0,344000000.0,-19000000.0,61000000.0,1483000000.0,1139000000.0,695000000.0,-61000000.0,222000000.0,222000000.0,2020-10-31,0.6918349429323969,False,,
58,1/31/2021,Agilent Technologies,A,103000000.0,312000000.0,288000000.0,398000000.0,838000000.0,337000000.0,337000000.0,-19000000.0,24000000.0,1548000000.0,1211000000.0,710000000.0,-25000000.0,288000000.0,288000000.0,2021-01-31,0.6919900908340215,False,,
57,4/30/2021,Agilent Technologies,A,109000000.0,273000000.0,216000000.0,420000000.0,817000000.0,288000000.0,288000000.0,-20000000.0,57000000.0,1525000000.0,1237000000.0,708000000.0,-15000000.0,216000000.0,216000000.0,2021-04-30,0.6604688763136621,False,,
56,7/31/2021,Agilent Technologies,A,113000000.0,327000000.0,264000000.0,390000000.0,852000000.0,349000000.0,349000000.0,-21000000.0,63000000.0,1586000000.0,1237000000.0,734000000.0,-22000000.0,264000000.0,264000000.0,2021-07-31,0.6887631366208569,False,,
56,9/30/2021,Agilent Technologies,A,,311097999.7,205092579.3,438351665.7,944247595.4,240850877.7,273991181.7,-19126066.82,56201253.06,1532627753.0,1067381135.0,802523974.6,-16562947.24,245406818.9,284087942.0,2021-09-30,0.8846395766588099,False,,
56,12/31/2021,Agilent Technologies,A,,318362604.4,211678789.7,415793171.3,708478697.2,385366849.1,337950034.1,-20040722.41,52973773.53,1818265215.0,1195628387.0,663447336.1,-26640645.85,262402669.8,256320436.1,2021-12-31,0.5925576081190853,False,,
56,3/31/2022,Agilent Technologies,A,,315918192.8,258703425.6,520571373.2,777053736.1,314337202.6,298936557.9,-17698260.19,68991404.79,1510237960.0,1069747271.0,621316422.7,-17697424.42,270091614.5,262797973.1,2022-03-31,0.72639001488044,False,,
56,6/30/2022,Agilent Technologies,A,,267801629.3,251462280.2,400896131.3,854644722.1,385008224.8,351920142.7,-17514177.83,59598074.76,1603134793.0,1339904518.0,554031478.6,-26351117.36,225854916.8,219712902.4,2022-06-30,0.6378400181646376,False,,
56,9/30/2022,Agilent Technologies,A,,285221777.0,297490610.8,342829381.1,947687550.8,254547426.4,323395747.1,-19023947.28,64188067.63,1700419946.0,1369658552.0,671913088.6,-27623671.94,274273220.9,236026957.4,2022-09-30,0.6919151852964883,False,,
56,12/31/2022,Agilent Technologies,A,,240572497.8,201691681.0,339660369.9,889210077.4,347774394.5,375766539.5,-20749713.99,60403076.27,1680682946.0,1167203975.0,757578046.5,-29403654.9,229766687.3,229085653.8,2022-12-31,0.7618292059020789,False,,
